source,target,corr_raw,corr_market_adj,same_sector
BCM,SHB,0.2577985242497398,-0.08406957510404149,0
BCM,SSB,0.1849938008466398,0.01580860430061915,0
BCM,SSI,0.36669928879204283,0.03277229126654507,0
BCM,STB,0.3514742856123432,-0.0004849002239139637,0
BCM,TCB,0.27883968841631046,-0.1689485245457601,0
BCM,TPB,0.3277733586649163,-0.03086031916858381,0
BCM,VCB,0.28772291351132284,-0.03415026254794277,0
BCM,VHM,0.2012414696672164,-0.05182096694733619,1
BCM,VIB,0.36842912545984174,0.040598111683183016,0
BCM,VIC,0.17851834042443865,-0.04870811259342587,1
BCM,VJC,0.12068428569833382,-0.12104099107815522,0
BCM,VNM,0.24972300635077904,-0.03285797447937386,0
BCM,VPB,0.29126332224754925,-0.07798450057291721,0
BCM,VRE,0.28201855385047925,0.027419340609360007,1
BID,BVH,0.4393698408378928,0.016643809262517344,0
BID,CTG,0.6660859576080106,0.25293449382591066,1
BID,FPT,0.42940456816694794,-0.032542322277645634,0
BID,GAS,0.47661094674523696,0.1270047481228898,0
BID,GVR,0.5109975687243287,0.09612863867757099,0
BID,HDB,0.519634378549449,0.01908728734287539,1
BID,HPG,0.4802898317639549,-0.07376364887613002,0
BID,LPB,0.5033261566407431,0.017947135049008245,1
BID,MBB,0.6415668639352963,0.13164026040996912,1
BID,MSN,0.44038849080395237,-0.053360113148990085,0
BID,MWG,0.41232549409764596,-0.06464319908092295,0
BID,NVL,0.10795799859772955,-0.08620063807944917,0
BID,PDR,0.17294534636580375,-0.10459623169614538,0
BID,PLX,0.5170171201733416,0.18900152047140414,0
BID,POW,0.5173224750968177,0.08107399706446757,0
BID,SAB,0.32050126793048206,0.03287909030305157,0
BID,SHB,0.4296062929346849,-0.09879670913689917,1
BID,SSB,0.23028976582800922,-0.045649475447491684,1
BID,SSI,0.5119016262788745,-0.04309487929371371,0
BID,STB,0.5804927615734575,0.09223439576009324,1
BID,TCB,0.5416929601882889,-0.06045920350316619,1
BID,TPB,0.5224748889850406,-0.012269387104917838,1
BID,VCB,0.5886257407606102,0.2250840833285353,1
BID,VHM,0.28893183529324745,-0.12712862964940835,0
BID,VIB,0.5541252161154735,0.056777876667486425,1
BID,VIC,0.2667996930717315,-0.09846715123999439,0
BID,VJC,0.2483436359525133,-0.11999163012984339,0
BID,VNM,0.4407205290900123,0.0478998930221952,0
BID,VPB,0.46987612628112124,-0.09922459021314958,1
BID,VRE,0.3780617554434389,-0.040788794976553605,0
