date,open,high,low,close,volume,parkinson_volatility
2018-11-16,28633.58499348958,28775.101888020832,28209.03430989584,28303.37890625,946970,0.0119320720529656
2018-11-19,28303.379586442785,28680.757980928687,28256.20728713205,28444.896484375,707980,0.0089563397108449
2018-11-20,28397.721936174552,28916.6171875,28350.54964059951,28916.6171875,1445630,0.0118730958522425
2018-11-21,28444.89406151108,29860.06292029272,28444.89406151108,29812.890625,1678690,0.0291591835336036
2018-11-22,30048.75268008686,30143.097272489016,29529.857421875,29529.857421875,763390,0.0123439850082957
2018-11-23,29671.37462269176,29718.54691938921,29058.134765625,29058.134765625,883420,0.0134963253766677
2018-11-26,29152.48004594104,29435.51383279483,28869.446259087235,29199.65234375,718840,0.011661749029352
2018-11-27,29341.16854580966,29624.20232599432,29058.134765625,29058.134765625,1060950,0.0115867491910536
2018-11-28,29058.13503024193,29246.82421875,28963.790435987903,29246.82421875,636790,0.0058401873953183
2018-11-29,29341.16907677284,30001.58124248798,29341.16907677284,29435.513671875,1953160,0.0133675739120532
2018-11-30,29435.513996335507,29812.892380903908,28963.791015625,28963.791015625,1809290,0.0173528953010879
2018-12-03,28963.789454994017,29765.718478992225,28963.789454994017,29577.029296875,2013330,0.0164018876528074
2018-12-04,30001.580311066515,31322.404601490827,29907.23571889335,30850.681640625,3729070,0.0277658632956935
2018-12-05,30614.821933682662,31275.234117151937,30426.13273840573,31086.544921875,2079660,0.0165302510016825
2018-12-06,31039.37025331439,31228.059434185605,30661.991891571968,31133.71484375,1892180,0.0109861820486995
2018-12-07,30945.025662878787,31322.40402462121,30850.68107244318,31133.71484375,1466260,0.0091133949748557
2018-12-10,30945.02626953125,30945.02626953125,30095.924938964843,30190.26953125,2467410,0.0167091174719523
2018-12-11,30095.925052966104,30614.8203125,30095.925052966104,30614.8203125,1487680,0.0102662534866809
2018-12-12,30614.8203125,30614.8203125,30614.8203125,30614.8203125,0,0.0
2018-12-13,31039.37082497133,31086.543121057915,30850.681640625,30850.681640625,1262550,0.0045739840625697
2018-12-14,30850.681949970887,30850.681949970887,30378.958984375,30378.958984375,1014790,0.0092538225999486
2018-12-17,30095.924938964843,30473.303308105467,30001.58034667969,30190.26953125,1643870,0.0093693195818025
2018-12-18,29435.512262658227,30095.924396756327,29246.82308148734,29812.890625,1241410,0.0171873441826579
2018-12-19,29718.546334907554,29907.235517986333,29341.16796875,29341.16796875,735120,0.0114760409959623
2018-12-20,29058.13481104651,29435.513185215947,28397.72265625,28397.72265625,1171150,0.0215558971024712
2018-12-21,28397.723569485923,28397.723569485923,27642.966796875,27642.966796875,2017450,0.0161777109698249
2018-12-24,27501.4489091484,28020.34417158516,27501.4489091484,27973.171875,561130,0.0112257699144566
2018-12-25,27359.93268928272,28256.206346345425,27265.58809380243,28114.689453125,1121900,0.0214326657763908
2018-12-26,27831.65487211045,28209.033243257705,27548.62109375,27548.62109375,1015230,0.0142271574770711
2018-12-27,28209.033243257705,28209.033243257705,27454.276500963188,27548.62109375,2017410,0.0162874037665121
2018-12-28,27548.62109375,27548.62109375,27548.62109375,27548.62109375,0,0.0
2018-12-31,27548.62109375,27548.62109375,27548.62109375,27548.62109375,0,0.0
2019-01-01,27548.62109375,27548.62109375,27548.62109375,27548.62109375,0,0.0
