estimator,panel,horizon,n_test_obs,n_test_dates,qlike_HAR-X,qlike_LSTM,qlike_LSTM+GAT,p_LSTM_vs_HARX,win_LSTM_vs_HARX,p_wGAT_vol2pk_vs_HARX,win_wGAT_vol2pk_vs_HARX,p_wGAT_vol2pk_vs_LSTM,win_wGAT_vol2pk_vs_LSTM
yang_zhang,hose,22,187849,583,0.3024941028659765,0.3319977827529007,0.334946510876635,0.7108771113137172,HAR-X,0.6872066930999176,HAR-X,0.9278662476693758,LSTM+GAT
yang_zhang,sp500,22,707907,1620,0.45321172909699675,0.36465841179093206,0.613022024349978,0.0005872223064208523,LSTM,0.4213208362766947,LSTM+GAT,0.22961049687991297,LSTM
rogers_satchell,vn30,1,10106,326,0.9691397450592051,1.0283299343694976,1.0032344546185428,0.2553904339872639,HAR-X,0.07230751162094005,LSTM+GAT,8.192336125032076e-05,LSTM+GAT
rogers_satchell,vn100,1,46308,454,1.0665087958753214,1.1861469365889687,1.085445708125151,0.8989706659848411,LSTM,0.2897440316106123,LSTM+GAT,0.004625881631887702,LSTM+GAT
rogers_satchell,hnx,1,60028,477,3.8521222073297268,3.6671610260772076,3.662992893374894,2.868685385561351e-05,LSTM,3.332664107276989e-05,LSTM+GAT,0.8165813414392855,LSTM
rogers_satchell,hose,1,193380,592,2.2861430524839,2.326949321988349,2.2551733596082437,0.6393129529384829,LSTM,0.005236339464848444,LSTM+GAT,0.00014535427733935736,LSTM+GAT
parkinson,vn30,1,10106,326,0.5158719891205527,0.6794456855214196,0.6186402816316345,3.886285681593858e-06,HAR-X,0.005635054822706971,HAR-X,1.09711461297125e-05,LSTM+GAT
parkinson,vn100,1,46308,454,0.5115093511866152,0.6212004739853534,0.5520995230110133,0.001179876233420119,HAR-X,0.2140566994746796,HAR-X,1.591783152304121e-06,LSTM+GAT
parkinson,hnx,1,62004,489,1.8720845386672689,1.8207208896795415,1.8156664406518481,9.988633864413435e-11,LSTM,3.745473472346448e-10,LSTM+GAT,0.8529931941333824,LSTM
parkinson,hose,1,195130,597,1.2438738330906087,1.310027940551835,1.3547814134452116,0.6637382099255549,LSTM,0.47196349107557733,LSTM+GAT,0.0027792843347896443,LSTM+GAT
parkinson,sp500,1,714520,1624,0.3617719287912401,0.637697811467824,0.5429677451974042,3.3072563344087366e-72,HAR-X,3.7505996511209293e-64,HAR-X,1.5087629288028945e-05,LSTM
